parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
interaction	368324	367104	-1.0763186049006e-05	0.0604594229515281	NA
interaction	368324	4479888	-4.28142690297529e-05	0.240498119036919	NA
interaction	368324	851668	1.45199294237872e-05	0.0815619603955617	NA
interaction	368324	368324	-4.94337642075828e-06	0.0277681426735941	NA
interaction	368324	358016	4.19889279129464e-06	0.0235861978080784	NA
interaction	368324	364109	-1.80676582673366e-07	0.00101490412592976	NA
interaction	368324	1105014	2.08274298600638e-05	0.116992718064107	NA
interaction	368324	193041	5.80432084317515e-07	0.00326042760206961	NA
interaction	368324	528634	-4.12761245756907e-07	0.00231857989089775	NA
interaction	368324	271563	3.96553504217843e-06	0.0222753708105151	NA
interaction	368324	1976824	-7.7947020934429e-05	0.437847295868446	NA
interaction	368324	560336	3.3007179588526e-05	0.185409322304155	NA
interaction	368324	531444	-1.62791248891824e-06	0.00914437874133677	NA
interaction	368324	198162	0	0	NA
interaction	368324	181985	6.07008958383614e-06	0.0340971634079212	NA
interaction	368324	4435546	-1.89710870133229e-05	0.106565190675549	NA
interaction	368324	3718952	1.67304742490068e-05	0.0939791260872766	NA
interaction	368324	3335289	9.21615627570337e-06	0.0517693820141285	NA
interaction	368324	2430157	9.32276669133764e-06	0.0523682385404882	NA
interaction	368324	516298	-1.6487543167517e-05	0.092614523363047	NA
interaction	368324	192708	-1.71088322615428e-05	0.0961044546844837	NA
interaction	368324	367394	8.23663653634861e-06	0.0462671823920669	NA
interaction	358016	367104	2.22811532886033e-05	0.125158634663563	NA
interaction	358016	4479888	-3.06773298054929e-05	0.172321991767958	NA
interaction	358016	851668	1.80943540914941e-05	0.101640369503172	NA
interaction	358016	368324	-2.23390290446936e-05	0.12548373680341	NA
interaction	358016	358016	4.50722008667802e-07	0.00253181469051403	NA
interaction	358016	364109	2.23059731832182e-05	0.125298054023156	NA
interaction	358016	1105014	-0.000104408161195601	0.586485929777193	NA
interaction	358016	193041	1.90239721448527e-05	0.106862259268477	NA
interaction	358016	528634	-4.41611147346616e-05	0.248063677576255	NA
interaction	358016	271563	7.03946510447082e-05	0.395423804964358	NA
interaction	358016	1976824	-4.93609078734468e-05	0.277272175060817	NA
interaction	358016	560336	0.00017869218276099	1.00375727098727	NA
interaction	358016	531444	1.89333550211995e-05	0.106353240936856	NA
interaction	358016	198162	1.18051952204293e-06	0.00663126408488694	NA
interaction	358016	181985	1.24812798060338e-05	0.070110371718331	NA
interaction	358016	4435546	-1.31591603291715e-05	0.0739181908039045	NA
interaction	358016	3718952	-3.43006522944108e-05	0.192675071780684	NA
interaction	358016	3335289	1.3462772889273e-05	0.0756236560909486	NA
interaction	358016	2430157	-9.50633378906954e-06	0.0533993793896034	NA
interaction	358016	516298	0	0	NA
interaction	358016	192708	-1.08624881622573e-05	0.0610172269732838	NA
interaction	358016	367394	-2.16107071275374e-05	0.121392576190398	NA
interaction	364109	367104	-1.7309430554507e-05	0.0972312638822864	NA
interaction	364109	4479888	1.81810540562099e-05	0.102127384204281	NA
interaction	364109	851668	0	0	NA
interaction	364109	368324	-1.03747521480843e-05	0.0582774956488125	NA
interaction	364109	358016	-0.000496719367629375	2.79019299666323	NA
interaction	364109	364109	-3.87331977103637e-05	0.217573752973666	NA
interaction	364109	1105014	1.60464468325288e-05	0.0901367784129928	NA
interaction	364109	193041	-6.35376577688531e-06	0.0356906412925131	NA
interaction	364109	528634	-3.12721914902959e-06	0.0175663473930899	NA
interaction	364109	271563	4.38740547961636e-05	0.246451192373912	NA
interaction	364109	1976824	9.75103009960798e-06	0.0547738978329494	NA
interaction	364109	560336	0.000233416643857904	1.31115782359207	NA
interaction	364109	531444	-7.99516850459312e-06	0.0449107979725551	NA
interaction	364109	198162	9.95825810673077e-05	0.559379477409407	NA
interaction	364109	181985	2.26954546967391e-05	0.12748586601958	NA
interaction	364109	4435546	-3.43685902611318e-05	0.193056695794777	NA
interaction	364109	3718952	-4.17343051374681e-06	0.0234431700279616	NA
interaction	364109	3335289	2.97396539005636e-05	0.167054839098716	NA
interaction	364109	2430157	4.87467502840789e-05	0.273822303128341	NA
interaction	364109	516298	-8.35748727408522e-05	0.469460302567748	NA
interaction	364109	192708	-3.43612559881305e-05	0.19301549740692	NA
interaction	364109	367394	9.57635969012808e-05	0.537927318365819	NA
interaction	1105014	367104	0.000414635921254615	2.32911039722708	NA
interaction	1105014	4479888	2.1772091996907e-05	0.122299114090121	NA
interaction	1105014	851668	0	0	NA
interaction	1105014	368324	-0.000183536883201286	1.03097112677863	NA
interaction	1105014	358016	0.00120796855590338	6.78545195641713	NA
interaction	1105014	364109	0.000476255439594746	2.67524215639512	NA
interaction	1105014	1105014	-0.000931038879508544	5.2298708899232	NA
interaction	1105014	193041	0.000484353847933115	2.72073287751936	NA
interaction	1105014	528634	5.09422634006082e-05	0.286155032071564	NA
interaction	1105014	271563	0.000552440658995038	3.10319298632644	NA
interaction	1105014	1976824	-0.000264109268729084	1.48356573144856	NA
interaction	1105014	560336	-0.00155275396000465	8.72219508054039	NA
interaction	1105014	531444	0.000483227147738919	2.71440392963439	NA
interaction	1105014	198162	-0.000357219773929516	2.0065899911345	NA
interaction	1105014	181985	-0.000317236817959363	1.78199604331595	NA
interaction	1105014	4435546	0.000543537858753042	3.05318380105053	NA
interaction	1105014	3718952	-0.000569403423227488	3.19847694151287	NA
interaction	1105014	3335289	-0.000629299975920566	3.53493038532784	NA
interaction	1105014	2430157	-0.000221200305032884	1.24253568953454	NA
interaction	1105014	516298	0.000443227566839864	2.48971659556353	NA
interaction	1105014	192708	0.000537523467414273	3.01939950817563	NA
interaction	1105014	367394	-0.000233530264965383	1.31179606087256	NA
interaction	193041	367104	-2.31627133522101e-06	0.0130110571060473	NA
interaction	193041	4479888	-2.01463403769297e-06	0.0113166873473002	NA
interaction	193041	851668	-6.05288951517353e-06	0.0340005464562738	NA
interaction	193041	368324	-8.39806985862195e-06	0.0471739924634858	NA
interaction	193041	358016	-2.78331226991037e-05	0.156345391565753	NA
interaction	193041	364109	-2.66484370485255e-06	0.0149690725327819	NA
interaction	193041	1105014	1.68784766899805e-06	0.00948104916453878	NA
interaction	193041	193041	1.68784766899805e-06	0.00948104916453878	NA
interaction	193041	528634	1.39430151370874e-06	0.00783212931147445	NA
interaction	193041	271563	1.22831918865054e-05	0.0689976638961465	NA
interaction	193041	1976824	8.82342814965067e-07	0.00495633330087623	NA
interaction	193041	560336	1.55356483041541e-05	0.0872674993603579	NA
interaction	193041	531444	1.70720690924135e-06	0.00958979470592036	NA
interaction	193041	198162	-1.70273918153856e-06	0.00956469839730086	NA
interaction	193041	181985	2.26128962869312e-07	0.00127022115435501	NA
interaction	193041	4435546	-2.1925326493856e-06	0.0123159869373883	NA
interaction	193041	3718952	1.86234059269125e-06	0.0104612181802542	NA
interaction	193041	3335289	0	0	NA
interaction	193041	2430157	1.47525659766877e-06	0.00828687362593027	NA
interaction	193041	516298	-6.2700908126142e-08	0.00035220618751577	NA
interaction	193041	192708	-1.94964147231093e-06	0.0109516083659236	NA
interaction	193041	367394	1.8524474604275e-06	0.0104056460601472	NA
interaction	528634	367104	-1.30744521274305e-05	0.0734423643178434	NA
interaction	528634	4479888	7.02621453894397e-06	0.0394679488604976	NA
interaction	528634	851668	-0.000119682986985088	0.672288325899737	NA
interaction	528634	368324	-3.00729102236308e-05	0.168926820582251	NA
interaction	528634	358016	-0.000252538128465392	1.41856783398133	NA
interaction	528634	364109	-5.13449773687059e-05	0.288417173970334	NA
interaction	528634	1105014	-5.62488552403884e-05	0.315963443726961	NA
interaction	528634	193041	2.21135621660779e-05	0.124217234736668	NA
interaction	528634	528634	1.08205183559312e-05	0.0607814724057881	NA
interaction	528634	271563	0.000644998750560959	3.62311420482912	NA
interaction	528634	1976824	3.74694605994969e-05	0.21047503553651	NA
interaction	528634	560336	0.000164734251551174	0.925352190679232	NA
interaction	528634	531444	2.19064889458123e-05	0.123054054303944	NA
interaction	528634	198162	-1.44513030422297e-05	0.0811764693885934	NA
interaction	528634	181985	1.09333026371933e-05	0.0614150090307295	NA
interaction	528634	4435546	-2.72188116220491e-05	0.152894657455765	NA
interaction	528634	3718952	2.89748172500904e-05	0.162758566384554	NA
interaction	528634	3335289	-5.19639852801771e-06	0.0291894291336844	NA
interaction	528634	2430157	0	0	NA
interaction	528634	516298	7.36680510802532e-07	0.00413811285802975	NA
interaction	528634	192708	-2.22014634073115e-05	0.124710997298935	NA
interaction	528634	367394	8.51312496163941e-06	0.0478202848442356	NA
interaction	271563	367104	9.15356094914241e-07	0.00514177689038369	NA
interaction	271563	4479888	1.07559227907656e-05	0.0604186234707828	NA
interaction	271563	851668	0	0	NA
interaction	271563	368324	1.02033261433123e-05	0.0573145542595052	NA
interaction	271563	358016	-5.54728467050351e-06	0.0311604415829525	NA
interaction	271563	364109	-9.62724293725359e-06	0.0540785553599421	NA
interaction	271563	1105014	-3.37445739627381e-06	0.0189551445105859	NA
interaction	271563	193041	-1.39891615234057e-05	0.0785805085436515	NA
interaction	271563	528634	-1.14697185141596e-05	0.0644281869350937	NA
interaction	271563	271563	-1.6489997760433e-06	0.00926283114059748	NA
interaction	271563	1976824	2.05397935761023e-05	0.1153769953897	NA
interaction	271563	560336	1.99057011376342e-05	0.111815144581477	NA
interaction	271563	531444	-1.31914131023756e-05	0.0740993624428256	NA
interaction	271563	198162	3.70698751683611e-05	0.208230467387608	NA
interaction	271563	181985	2.39299319096706e-05	0.134420223523095	NA
interaction	271563	4435546	-2.71381484970839e-05	0.152441553145697	NA
interaction	271563	3718952	-1.11590533184333e-05	0.0626831052855505	NA
interaction	271563	3335289	5.52736501400015e-05	0.310485480477016	NA
interaction	271563	2430157	1.82773324891466e-05	0.102668203481354	NA
interaction	271563	516298	-1.13094415968169e-05	0.0635278726702588	NA
interaction	271563	192708	-3.04238079235151e-05	0.170897897952227	NA
interaction	271563	367394	1.64259388686686e-05	0.0922684770954506	NA
interaction	1976824	367104	-8.92187922783094e-05	0.501163565603978	NA
interaction	1976824	4479888	-1.73263165943936e-05	0.0973261168582389	NA
interaction	1976824	851668	-1.83777870722092e-05	0.103232481205176	NA
interaction	1976824	368324	-5.15586729595649e-06	0.0289617553862663	NA
interaction	1976824	358016	2.26022611480305e-05	0.126962375284396	NA
interaction	1976824	364109	-7.72218484868847e-05	0.433773826589066	NA
interaction	1976824	1105014	2.69380205780515e-05	0.151317386152197	NA
interaction	1976824	193041	1.59954211007109e-05	0.0898501545186045	NA
interaction	1976824	528634	7.21894369937825e-06	0.0405505552349238	NA
interaction	1976824	271563	0.000167887453041092	0.943064487174187	NA
interaction	1976824	1976824	0	0	NA
interaction	1976824	560336	-0.00012583613338222	0.706852039544846	NA
interaction	1976824	531444	1.71304578760095e-05	0.096225930998809	NA
interaction	1976824	198162	-2.034364471176e-05	0.114275179710148	NA
interaction	1976824	181985	4.67115609715503e-05	0.262390151823666	NA
interaction	1976824	4435546	-3.2115107885315e-05	0.180398339481601	NA
interaction	1976824	3718952	4.17332144420641e-05	0.234425573579358	NA
interaction	1976824	3335289	1.30294689548857e-05	0.0731896829424397	NA
interaction	1976824	2430157	2.79058765145344e-05	0.156754067368478	NA
interaction	1976824	516298	-2.32692711543465e-05	0.130709132044071	NA
interaction	1976824	192708	-3.44601519021816e-05	0.193571019709384	NA
interaction	1976824	367394	2.40138494569531e-05	0.134891608711561	NA
interaction	560336	367104	1.75690567776873e-06	0.00986896472610644	NA
interaction	560336	4479888	2.15648400440783e-05	0.1211349296733	NA
interaction	560336	851668	1.40512982142032e-05	0.0789295453857752	NA
interaction	560336	368324	0	0	NA
interaction	560336	358016	-6.33954375881912e-06	0.0356107527723692	NA
interaction	560336	364109	-2.48535557819845e-06	0.0139608442521642	NA
interaction	560336	1105014	-3.00473809549325e-06	0.0168783416496617	NA
interaction	560336	193041	-4.77444637471951e-06	0.0268192216890291	NA
interaction	560336	528634	7.41320647357445e-06	0.041641776289302	NA
interaction	560336	271563	-3.2886867581821e-06	0.0184733500622136	NA
interaction	560336	1976824	1.91065572637528e-05	0.107326159883997	NA
interaction	560336	560336	1.82342661127377e-05	0.102426289214107	NA
interaction	560336	531444	-4.83911933141269e-06	0.027182505350989	NA
interaction	560336	198162	3.59135061001157e-06	0.0201734862251099	NA
interaction	560336	181985	1.11682627164482e-05	0.0627348367047766	NA
interaction	560336	4435546	-2.29646687925616e-05	0.128998106801235	NA
interaction	560336	3718952	-1.85317850490426e-06	0.0104097525140369	NA
interaction	560336	3335289	8.56399887841647e-06	0.0481060559567686	NA
interaction	560336	2430157	6.52733584284145e-06	0.0366656263927972	NA
interaction	560336	516298	-1.88086383731789e-06	0.0105652677317734	NA
interaction	560336	192708	-2.37480483414445e-05	0.133398539466976	NA
interaction	560336	367394	-4.12835494253896e-07	0.00231899696268881	NA
interaction	531444	367104	-0.000436507631361831	2.45196909037096	NA
interaction	531444	4479888	5.96658585769249e-05	0.335157579088909	NA
interaction	531444	851668	4.45993440566104e-05	0.250525317819658	NA
interaction	531444	368324	-0.000197348136859125	1.10855228375094	NA
interaction	531444	358016	-0.000403329067703404	2.26559706223583	NA
interaction	531444	364109	-0.000853558963439725	4.79464743522074	NA
interaction	531444	1105014	0.000113438781496527	0.637213111282966	NA
interaction	531444	193041	8.64735360259239e-05	0.485742796315257	NA
interaction	531444	528634	8.30020235904713e-05	0.466242470142237	NA
interaction	531444	271563	0	0	NA
interaction	531444	1976824	-2.96052619874413e-05	0.166299927172105	NA
interaction	531444	560336	-0.0002888708166069	1.62265734328757	NA
interaction	531444	531444	8.43117265778653e-05	0.473599389041084	NA
interaction	531444	198162	1.77651425915582e-05	0.0997911087708471	NA
interaction	531444	181985	-0.00015654233426322	0.879336207136695	NA
interaction	531444	4435546	5.06806378514414e-05	0.28468541799447	NA
interaction	531444	3718952	6.83206438692296e-05	0.383773604321553	NA
interaction	531444	3335289	-5.63760014959773e-06	0.0316677655040261	NA
interaction	531444	2430157	-9.09622703755086e-05	0.510957104357777	NA
interaction	531444	516298	-0.00128661532207888	7.22722989078752	NA
interaction	531444	192708	5.28764444699859e-05	0.297019795609601	NA
interaction	531444	367394	7.85565414226456e-05	0.441271120080619	NA
interaction	198162	367104	-1.09787751151376e-05	0.0616704389530756	NA
interaction	198162	4479888	1.45514406151639e-06	0.00817389663897419	NA
interaction	198162	851668	1.40197595747635e-06	0.00787523852091775	NA
interaction	198162	368324	-2.42893469245656e-05	0.136439144714435	NA
interaction	198162	358016	-7.73656464199569e-06	0.0434581574407935	NA
interaction	198162	364109	-4.22070495154349e-06	0.0237087219952445	NA
interaction	198162	1105014	4.96401969822863e-06	0.0278841009630823	NA
interaction	198162	193041	1.18078447486647e-06	0.00663275238907004	NA
interaction	198162	528634	1.99966619208393e-05	0.112326093332038	NA
interaction	198162	271563	-6.43676002260619e-05	0.361568400724779	NA
interaction	198162	1976824	0	0	NA
interaction	198162	560336	-6.42130058582601e-05	0.360700006717067	NA
interaction	198162	531444	4.24730864764566e-07	0.00238581613998401	NA
interaction	198162	198162	-4.54596141469949e-06	0.0255357663280406	NA
interaction	198162	181985	-3.5362697392667e-06	0.0198640836331878	NA
interaction	198162	4435546	5.78351472230626e-06	0.0324874030003966	NA
interaction	198162	3718952	1.88753891243605e-06	0.0106027632454591	NA
interaction	198162	3335289	-2.40716464763459e-06	0.0135216268568308	NA
interaction	198162	2430157	5.66048564208799e-07	0.00317963188583603	NA
interaction	198162	516298	-1.08899112681466e-05	0.0611712692011204	NA
interaction	198162	192708	5.26961104429366e-06	0.0296006815701581	NA
interaction	198162	367394	1.18078447486647e-06	0.00663275238907004	NA
interaction	181985	367104	-0.000112061819501898	0.629478382249907	NA
interaction	181985	4479888	4.76142652562778e-05	0.26746086043188	NA
interaction	181985	851668	-0.000299593271275514	1.68288796821003	NA
interaction	181985	368324	4.67160690857587e-05	0.26241547499307	NA
interaction	181985	358016	-9.24261005752887e-05	0.519179793139219	NA
interaction	181985	364109	-0.000264566875438383	1.48613621917003	NA
interaction	181985	1105014	-2.66244350773792e-06	0.0149555900442456	NA
interaction	181985	193041	5.74488030828646e-05	0.322703841393389	NA
interaction	181985	528634	5.67676956803766e-05	0.318877896144933	NA
interaction	181985	271563	0.000231148344623567	1.29841623739585	NA
interaction	181985	1976824	7.31233532914896e-05	0.410751586394112	NA
interaction	181985	560336	-0.000999209851947889	5.61280375357168	NA
interaction	181985	531444	5.30270995244323e-05	0.297866061540069	NA
interaction	181985	198162	8.81662007455838e-06	0.0495250904020085	NA
interaction	181985	181985	-0.000143812587252869	0.807830134951326	NA
interaction	181985	4435546	3.66443928719559e-05	0.205840430274097	NA
interaction	181985	3718952	-8.32201563788121e-05	0.46746777484754	NA
interaction	181985	3335289	-0.000157429063054722	0.884317177530093	NA
interaction	181985	2430157	0	0	NA
interaction	181985	516298	-3.51365524367776e-05	0.197370525340856	NA
interaction	181985	192708	2.74943950487594e-05	0.15444267631171	NA
interaction	181985	367394	1.25532725400236e-05	0.070514772342264	NA
interaction	4435546	367104	4.39328564725483e-06	0.0246781495632316	NA
interaction	4435546	4479888	-8.86120474965103e-06	0.0497755333207047	NA
interaction	4435546	851668	-3.5038755400351e-06	0.0196821175700164	NA
interaction	4435546	368324	-1.30319177555663e-05	0.0732034384489782	NA
interaction	4435546	358016	1.21851795604656e-05	0.0684471049215526	NA
interaction	4435546	364109	6.01083466408726e-06	0.0337643141717615	NA
interaction	4435546	1105014	-4.84723142037128e-06	0.0272280729194706	NA
interaction	4435546	193041	7.86111299168545e-06	0.0441577756874282	NA
interaction	4435546	528634	1.97819300779488e-06	0.0111119892561062	NA
interaction	4435546	271563	1.94702716488986e-05	0.10936923167937	NA
interaction	4435546	1976824	-9.86067904206448e-06	0.0553898225004206	NA
interaction	4435546	560336	-6.73774595472974e-07	0.0037847550953983	NA
interaction	4435546	531444	7.90670506188704e-06	0.044413877388449	NA
interaction	4435546	198162	-7.4363986473389e-06	0.0417720523466335	NA
interaction	4435546	181985	-8.35758741455629e-06	0.0469465927700555	NA
interaction	4435546	4435546	4.19305054967633e-06	0.0235533805218791	NA
interaction	4435546	3718952	-6.98278308057438e-06	0.0392239838394515	NA
interaction	4435546	3335289	-1.37966056723611e-05	0.0774988756900442	NA
interaction	4435546	2430157	0	0	NA
interaction	4435546	516298	3.3840365246319e-06	0.019008952794701	NA
interaction	4435546	192708	4.33957021096103e-06	0.0243764169473383	NA
interaction	4435546	367394	2.34433341285787e-06	0.0131686885929527	NA
interaction	3718952	367104	-4.94800951375068e-05	0.27794167879098	NA
interaction	3718952	4479888	-1.45879737627511e-07	0.000819441819283071	NA
interaction	3718952	851668	-4.14594523297208e-05	0.232887785487347	NA
interaction	3718952	368324	-3.41578258993681e-05	0.191872781326239	NA
interaction	3718952	358016	-7.39413595033603e-06	0.041534652541266	NA
interaction	3718952	364109	-4.55543158948094e-05	0.255889625935264	NA
interaction	3718952	1105014	1.4277271907562e-05	0.0801988943536827	NA
interaction	3718952	193041	-4.66665153287302e-06	0.0262137119537596	NA
interaction	3718952	528634	1.77248331771479e-05	0.0995646810269001	NA
interaction	3718952	271563	-2.77506073602431e-05	0.155881882921616	NA
interaction	3718952	1976824	6.27579206738725e-05	0.352526440805186	NA
interaction	3718952	560336	2.28144655167359e-05	0.128154378620704	NA
interaction	3718952	531444	-6.72977968277765e-06	0.0378028024749448	NA
interaction	3718952	198162	-6.84407483149814e-07	0.00384448260083425	NA
interaction	3718952	181985	9.64878921013294e-06	0.054199585993354	NA
interaction	3718952	4435546	2.65999692389237e-06	0.0149418469902065	NA
interaction	3718952	3718952	0.000153700602883411	0.863373513690325	NA
interaction	3718952	3335289	1.88600653567248e-05	0.105941555140264	NA
interaction	3718952	2430157	6.03722333824499e-06	0.0339125457460154	NA
interaction	3718952	516298	-3.09379885586219e-05	0.173786175117544	NA
interaction	3718952	192708	0	0	NA
interaction	3718952	367394	3.70977506157886e-05	0.208387050527424	NA
interaction	3335289	367104	6.35422174156921e-05	0.356932025565801	NA
interaction	3335289	4479888	-6.46220538721767e-06	0.0362997728485348	NA
interaction	3335289	851668	1.43524998097741e-05	0.080621467701099	NA
interaction	3335289	368324	2.15372438681899e-05	0.12097991526936	NA
interaction	3335289	358016	0.000164101886212153	0.921800041406921	NA
interaction	3335289	364109	6.59125973248944e-05	0.370247023637353	NA
interaction	3335289	1105014	-8.85722763878123e-05	0.497531929256667	NA
interaction	3335289	193041	6.29938142039774e-05	0.353851511898745	NA
interaction	3335289	528634	-4.94469325718859e-06	0.0277755396627696	NA
interaction	3335289	271563	5.57428408577664e-05	0.313121038379771	NA
interaction	3335289	1976824	-1.75754056582131e-05	0.0987253104607179	NA
interaction	3335289	560336	-0.000109971540638285	0.617736779593739	NA
interaction	3335289	531444	6.31180985943693e-05	0.354549647422071	NA
interaction	3335289	198162	-9.72019517634538e-06	0.0546006906005627	NA
interaction	3335289	181985	-8.31578217043236e-06	0.0467117625883071	NA
interaction	3335289	4435546	7.02292425862621e-05	0.394494665590253	NA
interaction	3335289	3718952	-4.77220250115805e-05	0.268066173077535	NA
interaction	3335289	3335289	-5.76117611488069e-05	0.323619216319299	NA
interaction	3335289	2430157	0	0	NA
interaction	3335289	516298	6.37109354158327e-05	0.357879755437197	NA
interaction	3335289	192708	6.92303883705382e-05	0.388883859531489	NA
interaction	3335289	367394	-1.21732945928311e-05	0.0683803441797326	NA
interaction	2430157	367104	-5.82950560079794e-06	0.0327457449041768	NA
interaction	2430157	4479888	-1.68271638592402e-06	0.00945222550468154	NA
interaction	2430157	851668	3.23659596894206e-07	0.00181807434823215	NA
interaction	2430157	368324	-4.95987604308915e-06	0.0278608250485434	NA
interaction	2430157	358016	9.77361884990856e-07	0.00549007843145312	NA
interaction	2430157	364109	-7.50424643255979e-06	0.0421531697893979	NA
interaction	2430157	1105014	2.17825102465649e-06	0.0122357635921818	NA
interaction	2430157	193041	2.17825102465649e-06	0.0122357635921818	NA
interaction	2430157	528634	1.91292749524425e-06	0.010745377064374	NA
interaction	2430157	271563	4.43836779587698e-06	0.0249313869112343	NA
interaction	2430157	1976824	-3.3219625345373e-06	0.0186602681576121	NA
interaction	2430157	560336	-2.33752978087006e-06	0.0131304709441929	NA
