parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
interaction	191922	181765	9.25452903801494e-07	0.079720723819871	NA
interaction	191922	593352	-3.68286212657878e-07	0.0317250541063326	NA
interaction	191922	302439	-1.47912522656332e-07	0.0127415380293789	NA
interaction	191922	574965	2.28595554762463e-07	0.0196917671475343	NA
interaction	191922	319438	-3.97259862852305e-07	0.0342209135452251	NA
interaction	191922	1809696	-3.34028390564124e-06	0.287740034774048	NA
interaction	191922	4385756	1.47912522656332e-07	0.0127415380293789	NA
interaction	191922	4310872	5.97904572556608e-07	0.0515049281315426	NA
interaction	191922	4407174	-2.09709936735502e-06	0.180649148974518	NA
interaction	191922	4459708	5.94502452178746e-07	0.051211861355339	NA
interaction	191922	310391	5.85600592340551e-07	0.0504450338844554	NA
interaction	191922	177224	-1.66030762369639e-06	0.143022864784395	NA
interaction	191922	1073276	-2.45650840760611e-06	0.21160950224428	NA
interaction	191922	586030	5.58354976645482e-07	0.0480980314652001	NA
interaction	191922	1106789	-1.43011336880908e-06	0.123193381789192	NA
interaction	191922	851715	-5.88713658352717e-07	0.050713200827116	NA
interaction	191922	328438	5.68033567320463e-07	0.0489317683857892	NA
interaction	191922	316489	1.71135006315459e-06	0.147419782447546	NA
interaction	191922	198583	-1.44478148711544e-06	0.124456928538741	NA
interaction	191922	3924208	1.46842480512644e-06	0.12649362043046	NA
interaction	191922	365868	6.14965031694879e-07	0.0529745568350839	NA
interaction	1111783	552961	1.55590105189259e-07	0.01340290332868	NA
interaction	1111783	682726	7.39170911005208e-08	0.00636739479771176	NA
interaction	1111783	191922	-2.35494592752915e-08	0.00202860667601893	NA
interaction	1111783	1111783	6.20160507822027e-08	0.00534221075594306	NA
interaction	1111783	529021	4.15143974130492e-07	0.0357614936116074	NA
interaction	1111783	188634	-8.02783905562346e-07	0.0691537232845515	NA
interaction	1111783	181765	1.35132727657397e-07	0.0116406559602864	NA
interaction	1111783	593352	-2.60084668521175e-07	0.0224043146266973	NA
interaction	1111783	302439	-1.9778480868328e-07	0.0170376558807448	NA
