Sample_ID	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
Otu00001	222	1698	3925	4300	949	3268	3986	3682	4668	3775	3529	3839	3906	607	927	25	60	295	2048	3106	4868	979	8863	14930	7312	15048	17948	1782	2267	3374	4791	10436	7722	7076	6480	5536	3624	2825	4882	4813	3419	4195	2978	7236	10595	17156	11578	9142	16055	8118	19699	13471	9421	13886	8652	27083	20980
Otu00002	162	1428	1374	8899	1603	5584	8168	8131	9856	5642	5842	7016	4453	1145	15617	824	1089	1539	4295	1101	271	62	458	839	268	469	468	649	557	486	540	1501	2740	459	260	612	418	1639	2249	1076	1638	314	204	573	74	147	94	20	9	6	4	4	2	2	1	5	6
Otu00003	39	194	546	366	395	1352	1442	735	1277	613	650	1088	985	270	2310	502	247	411	530	150	64	24	118	199	110	164	277	1773	1197	1293	878	2302	3485	1848	1491	2504	1586	1843	3567	2978	3713	1927	1535	4078	772	1056	766	153	124	18	151	62	44	90	11	238	153
Otu00004	134	458	518	1227	61	768	660	450	558	444	300	417	482	99	3711	868	682	980	2869	850	360	40	304	598	255	518	504	1478	1071	931	833	1289	615	149	70	59	41	39	184	131	155	115	161	711	461	586	645	245	162	66	163	116	83	149	27	365	560
Otu00005	11	286	73	612	30	108	178	31	56	40	41	79	80	12	440	66	21	44	99	31	4	1	35	73	29	31	75	657	466	314	181	245	200	27	13	9	8	5	26	9	11	6	12	35	14	24	24	11	10	3	11	5	4	7	1	26	15
Otu00006	0	5	5	14	1	2	27	9	9	6	7	17	9	9	99	9	9	21	51	31	21	2	58	131	55	115	155	294	215	252	203	479	398	46	28	36	22	131	521	430	325	210	309	1727	894	834	543	378	327	189	487	263	197	366	100	689	1136
Otu00007	9	23	41	163	47	77	227	208	148	83	88	91	44	32	156	20	17	15	36	16	2	2	20	35	16	26	24	200	258	242	595	2151	4112	610	417	484	246	246	505	278	202	110	54	105	56	84	57	26	39	25	57	47	17	30	5	29	16
Otu00008	23	65	26	130	31	44	109	87	95	32	38	76	42	37	188	11	16	6	10	4	2	4	9	5	7	8	12	922	1012	545	424	1231	885	188	112	196	110	192	399	434	366	556	399	969	411	69	26	10	14	6	22	3	4	5	4	9	12
Otu00009	5	5	1	15	11	11	20	10	22	13	10	29	17	27	73	45	28	34	60	42	13	3	19	36	26	43	30	140	1342	214	385	956	956	23	28	21	8	9	10	18	17	6	3	4	5	19	29	2	28	6	18	11	2	9	5	60	43
Otu00010	1	15	17	41	8	20	31	18	26	18	16	42	26	15	197	88	37	41	46	30	7	2	23	30	12	10	26	159	238	153	105	279	165	55	35	36	23	14	33	29	11	33	28	56	84	99	108	32	33	19	92	36	57	29	31	173	51
Otu00011	2	22	29	111	17	23	59	22	14	9	12	21	4	1	24	4	3	8	15	8	3	0	26	47	43	22	43	128	193	136	141	241	140	40	16	25	9	9	13	10	5	8	3	13	4	2	4	2	2	5	10	8	25	10	10	98	52
Otu00012	9	5	10	20	6	14	94	47	79	34	11	24	19	6	87	10	2	12	49	12	4	3	14	11	4	9	32	2	59	16	19	57	71	16	25	20	29	40	19	17	54	13	7	13	8	16	11	10	75	23	36	7	2	5	9	12	46
Otu00013	4	18	8	8	8	10	12	7	5	2	5	10	7	14	75	114	36	54	81	28	16	1	25	32	12	18	24	99	80	26	41	162	32	2	0	5	4	2	7	8	9	0	0	12	3	4	8	5	0	4	2	1	4	3	0	16	12
Otu00014	0	6	7	16	1	1	4	3	4	2	3	14	27	9	102	131	68	68	146	77	30	23	144	101	63	67	144	24	18	10	11	38	21	6	8	3	2	1	2	0	2	3	6	15	48	63	41	19	31	27	158	39	69	70	54	173	42
Otu00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	9	28	46	151	57	256	718
Otu00016	0	4	8	18	2	14	12	10	6	9	7	9	5	1	6	3	0	2	12	8	1	0	2	4	5	4	5	25	24	18	19	35	28	14	4	4	7	2	9	2	2	4	6	20	20	7	14	12	13	7	22	13	14	11	6	55	66
Otu00017	11	35	22	48	12	22	37	21	9	15	6	15	6	9	21	12	5	18	15	4	0	1	2	9	11	16	18	11	25	14	19	62	30	5	0	4	3	3	5	4	3	2	2	5	5	5	0	2	3	3	7	0	3	8	2	16	13
Otu00018	9	31	19	48	13	25	19	22	16	6	5	5	13	7	35	27	15	12	24	6	4	1	7	11	3	19	11	35	38	34	88	210	123	19	13	13	10	6	4	6	9	8	3	6	5	11	9	2	3	6	5	4	3	3	0	11	6
Otu00019	12	27	14	33	4	12	12	9	3	0	0	0	2	0	12	20	3	2	3	1	1	0	3	3	0	1	2	23	22	17	15	36	19	6	4	2	3	0	3	0	1	0	1	19	8	3	3	1	0	0	1	0	1	2	0	0	0
Otu00020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	8	41	22	38	33	23	66	77	124	134	52	389	76
